graphdraw-domain,460.0,-1,-1,462.0,-1.0,-1.0,487.0,-1.0,-1.0,482.0,-1.0,-1.0
brazil3,1800,24.000000000000135,70.0,1800.0,24.000000000000135,70.0,190.0,-1.0,-1.0,189.0,-1.0,-1.0
h80x6320d,115.0,-1,-1,944.0,-1.0,-1.0,74.0,-1.0,-1.0,810.0,-1.0,-1.0
neos-2657525-crna,1800,0.0,8.2809932,1800.0,0.0,8.2809932,1800.0,0.0,5.773948,1800.0,0.0,5.773948
chromaticindex1024-7,1800,3.0000000000000004,4.0,1800.0,3.0000000000000004,4.0,1800.0,3.0,4.0,1800.0,3.0,4.0
highschool1-aigio,1800,Inf,Inf,1800.0,Inf,Inf,1772.71774607,Inf,Inf,1772.71774607,Inf,Inf
hypothyroid-k1,12.0,-1,-1,12.0,-1.0,-1.0,12.0,-1.0,-1.0,12.0,-1.0,-1.0
neos-2746589-doon,1800,Inf,Inf,1800.0,1995.4753863608794,2192.6,1798.042759436,Inf,Inf,1800.0,2006.0897959183844,2011.9
chromaticindex512-7,1800,3.000000000000001,4.0,1800.0,3.000000000000001,4.0,1800.0,3.0000000000000004,4.0,1800.0,3.0000000000000004,4.0
irish-electricity,1800,3.621790320554191e6,3.8407710864819535e6,1800.0,3.6406928524511694e6,3.8938320662322557e6,1800.0,3.6196089334982433e6,4.1047101412742995e6,1800.0,3.652744739008442e6,3.8562590915569765e6
irp,13.0,-1,-1,13.0,-1.0,-1.0,11.0,-1.0,-1.0,11.0,-1.0,-1.0
istanbul-no-cutoff,126.0,-1,-1,126.0,-1.0,-1.0,56.0,-1.0,-1.0,56.0,-1.0,-1.0
neos-2978193-inde,1800,-2.399995016,-2.3880616859999986,1800.0,-2.399995016,-2.3880616859999986,1800.0,-2.399995016,-2.3880616859999986,1800.0,-2.399995016,-2.3880616859999986
k1mushroom,745.0,-1,-1,776.0,-1.0,-1.0,835.0,-1.0,-1.0,786.0,-1.0,-1.0
neos-3004026-krka,1800,Inf,Inf,219.0,-1.0,-1.0,1799.210936745,Inf,Inf,271.0,-1.0,-1.0
cmflsp50-24-8-8,1800,Inf,Inf,1800.0,5.508478475035432e7,5.718291217260004e7,1799.896677739,Inf,Inf,1799.896677739,Inf,Inf
lectsched-5-obj,1800,15.0,38.0,1800.0,15.0,38.0,1800.0,15.0,38.0,1800.0,15.0,38.0
neos-3046615-murg,1800,545.06364749082,1606.0,1800.0,544.3294989588093,1606.0,1800.0,539.3636363636364,1604.0,1800.0,539.6531717511742,1604.0
co-100,1800,2.345550676170397e6,2.66497624e6,1800.0,2.345550676170397e6,2.66497624e6,1800.0,2.613847131252173e6,2.64842775e6,1800.0,2.613847131252173e6,2.64842775e6
leo1,1800,4.006713048638031e8,4.0781800512e8,1800.0,4.006713048638031e8,4.0781800512e8,1800.0,4.011704002752432e8,4.0557515072e8,1800.0,4.0118128237023246e8,4.0557515072e8
neos-3216931-puriri,1800,60236.000336204226,121379.99999999999,1800.0,64441.59796175221,160920.0,1800.0,63914.25627972968,111410.0,1800.0,63914.25627972968,111410.0
comp07-2idx,1800,6.000000000000039,41.0,1800.0,6.0000000000000195,154.0,1800.0,6.000000000000032,120.0,1800.0,6.00000000000001,44.0
neos-3402294-bobin,284.0,-1,-1,284.0,-1.0,-1.0,619.0,-1.0,-1.0,619.0,-1.0,-1.0
leo2,1800,3.9552994699226433e8,4.0875923008e8,1800.0,3.9552994699226433e8,4.0875923008e8,1800.0,3.9583710394602793e8,4.0949478432e8,1800.0,3.9582586807886153e8,4.0949478432e8
comp21-2idx,1800,44.31333333333334,126.0,1800.0,44.333333333333336,150.0,1800.0,46.550724637681164,158.0,1800.0,42.8243076923077,144.0
lotsize,1800,1.4639901320169684e6,1.496461e6,1800.0,1.4618715469047741e6,1.4987279999999998e6,1800.0,1.465660001170307e6,1.4877650000000002e6,1800.0,1.4652094988839412e6,1.5091129999999984e6
neos-3402454-bohle,1800,Inf,Inf,1800.0,Inf,Inf,1790.196369217,Inf,Inf,1790.196369217,Inf,Inf
cost266-UUE,1730.0,-1,-1,1743.0,-1.0,-1.0,1800.0,2.452656874365402e7,2.5148940559999987e7,1800.0,2.452009883639066e7,2.5148940559999987e7
neos-3555904-turama,1800,-40.949999999999946,-34.7,1800.0,-40.94999999999996,-34.7,1800.0,-40.949999999999996,-34.70000000000017,1800.0,-40.94999999999997,-34.7
neos8,7.0,-1,-1,7.0,-1.0,-1.0,3.0,-1.0,-1.0,3.0,-1.0,-1.0
net12,237.0,-1,-1,413.0,-1.0,-1.0,239.0,-1.0,-1.0,235.0,-1.0,-1.0
neos-3627168-kasai,164.0,-1,-1,161.0,-1.0,-1.0,666.0,-1.0,-1.0,657.0,-1.0,-1.0
netdiversion,895.0,-1,-1,691.0,-1.0,-1.0,1007.0,-1.0,-1.0,579.0,-1.0,-1.0
cryptanalysiskb128n5obj14,1800,Inf,Inf,1800.0,Inf,Inf,1797.101879936,Inf,Inf,1797.101879936,Inf,Inf
neos-3656078-kumeu,1800,Inf,Inf,1800.0,Inf,Inf,1798.773086279,Inf,Inf,1798.773086279,Inf,Inf
nexp-150-20-8-5,1800,230.14300272496598,234.0,1800.0,229.94733028999522,235.0,1755.0,-1.0,-1.0,1350.0,-1.0,-1.0
cryptanalysiskb128n5obj16,1800,Inf,Inf,1800.0,Inf,Inf,1797.078306844,Inf,Inf,1797.078306844,Inf,Inf
neos-3754480-nidda,1800,-241727.00840008337,13251.715394959288,1800.0,-243224.17109659975,13251.715394959288,1800.0,-275041.0579850433,13300.00745792976,1800.0,-274309.4904077171,13300.00745792976
