Name(Seed 0),Org,,,Org-1,,,2prob,,,2prob-1,,
chromaticindex1024-7,1800,3.0000000000000004,4,1800,3.0000000000000004,4,1800,3,4,1800,3,4
neos-848589,1800,2350.6870635244995,2351.4030999999613,1800,2350.6994570661336,2351.4030999999613,1391.857589,-1,-1,1415.276376,-1,-1
neos-860300,30.573957,-1,-1,21.204986,-1,-1,33.575584,-1,-1,22.081407,-1,-1
neos-911970,72.405577,-1,-1,25.625076,-1,-1,57.494153,-1,-1,121.574585,-1,-1
milo-v12-6-r2-40-1,1800,323810.8787857749,326481.14282798977,1800,322309.05893744377,326481.14282798977,1800,322222.96865016175,326481.14282798977,1800,322235.7977376621,326481.14282798977
satellites2-40,1800,-29,49,1800,-29,49,1800,-29,49,1800,-29,49
chromaticindex512-7,1800,3,4,1800,3,4,1800,3.0000000000000004,4,1800,3.0000000000000004,4
neos-933966,1800,318,319,1025.209858,-1,-1,1553.855134,-1,-1,1800,318,4388
momentum1,1800,96579.82134959723,147710.56382244872,1800,96579.82134959723,147710.56382244872,1800,96408.09597847023,141340.9311477223,1800,96407.45340149582,141340.9311477223
neos-950242,432.857152,-1,-1,431.047326,-1,-1,1800,2.25,4,1800,2.25,4
satellites2-60-fs,1800,-29,23,1800,-29,79,1800,-29,44,1800,-29,44
cmflsp50-24-8-8,1800,Inf,Inf,1800,Inf,Inf,1799.896678,Inf,Inf,1799.896678,Inf,Inf
neos-957323,149.625473,-1,-1,149.875189,-1,-1,179.101555,-1,-1,181.542748,-1,-1
mushroom-best,1800,0.027327428,0.055333761232349135,1800,0.027338238583137074,0.055333761232349135,1800,0.035291639922978166,0.055333761232349135,1800,0.035330552,0.055333761232349135
mzzv11,627.502362,-1,-1,664.40408,-1,-1,573.831421,-1,-1,566.441551,-1,-1
savsched1,1800,-801160.3,31859.60000002217,1800,-801160.3,31859.60000002217,1800,-801160.3,31859.60000002217,1800,-801160.3,31859.60000002217
neos-960392,1649.606377,-1,-1,1643.082915,-1,-1,1800,-238,-237,1800,-238,-237
co-100,1800,2.0436102069501183e6,1.0737428119999986e7,1800,2.0436102069501183e6,1.0737428119999986e7,1800,1.9805712839481777e6,2.69086006e6,1800,1.9805712839481777e6,2.69086006e6
mzzv42z,409.237936,-1,-1,229.22223,-1,-1,353.107574,-1,-1,299.686431,-1,-1
neos5,842.676445,-1,-1,842.099943,-1,-1,835.080579,-1,-1,833.393189,-1,-1
neos8,12.022708,-1,-1,11.766841,-1,-1,5.134164,-1,-1,5.071582,-1,-1
net12,669.283211,-1,-1,669.197546,-1,-1,463.677742,-1,-1,394.261101,-1,-1
n2seq36q,1800,52000.00000000006,52200,1800,52000.00000000006,52200,455.492459,-1,-1,455.793163,-1,-1
neos-1122047,16.572468,-1,-1,16.058371,-1,-1,15.769221,-1,-1,15.916593,-1,-1
neos-1171448,40.007528,-1,-1,31.075972,-1,-1,11.291389,-1,-1,29.248098,-1,-1
sct2,1800,-231.0635671,-230.9891623,1800,-231.0635671,-230.9212275,1800,-231.0635671,-230.9891623,1800,-231.0635671,-230.9891623
seymour1,63.914216,-1,-1,63.594723,-1,-1,62.696944,-1,-1,63.007478,-1,-1
comp07-2idx,1800,6.000000000000073,188,1800,6.000000000000011,222,1800,6.000000000000012,162,1800,6.000000000000002,147
netdiversion,1051.376982,-1,-1,1485.495213,-1,-1,708.298896,-1,-1,1800,237,242
neos-1354092,1800,Inf,Inf,1800,Inf,Inf,1796.154732,Inf,Inf,1796.154732,Inf,Inf
sing326,1800,7.735605465797126e6,7.79749620171833e6,1800,7.727554175989926e6,7.773975789591491e6,1800,7.736738681145012e6,7.783234557496011e6,1800,7.726374452871382e6,7.83039355843401e6
comp21-2idx,1800,39.969014084507045,200,1800,41.45209176788124,191,1800,40.223193473193476,178,1800,44.44735847888022,115
nexp-150-20-8-5,1800,229.5488835626751,240,1800,229.7327141,232,1672.617559,-1,-1,1800,229.59846375642456,232
neos-1456979,1800,160.57471264367817,189,1800,160.57471264367817,189,1800,159.2830469461454,190,1800,159.2830469461454,190
neos-1582420,43.908612,-1,-1,49.032427,-1,-1,43.924561,-1,-1,49.049189,-1,-1
sing44,1800,8.112389692663431e6,8.141739273996949e6,1800,8.114066230067015e6,8.135760433927417e6,1800,8.110263855423808e6,8.154809678139448e6,1800,8.112844428593755e6,8.137260214440823e6
cost266-UUE,1800,2.4466571830511726e7,2.5148940559999987e7,1800,2.446774980192952e7,2.5148940559999987e7,1800,2.4233337324490182e7,2.5148940559999973e7,1800,2.423337211472982e7,2.5148940559999973e7
ns1116954,1800,Inf,Inf,1800,Inf,Inf,1786.259109,Inf,Inf,1786.259109,Inf,Inf
neos-2075418-temuka,1800,Inf,Inf,1800,Inf,Inf,1796.612399,Inf,Inf,1796.612399,Inf,Inf
sp97ar,1800,6.570852165644697e8,6.8549593216e8,1800,6.570953800276947e8,6.8549593216e8,1800,6.570852165644697e8,6.8549593216e8,1800,6.571062659663873e8,6.8549593216e8
cryptanalysiskb128n5obj14,1800,Inf,Inf,1800,Inf,Inf,1797.10188,Inf,Inf,1797.10188,Inf,Inf
ns1208400,1800,Inf,Inf,1800,Inf,Inf,374.8158,-1,-1,373.587771,-1,-1
neos-2657525-crna,1800,0,1.810748,1800,0,1.810748,1800,0,8.0666482,1800,0,8.0666482
sp98ar,1800,5.2825598178141886e8,5.300855592e8,1800,5.282575815884529e8,5.300855592e8,1800,5.282607327568107e8,5.300855592e8,1800,5.282556599550443e8,5.300855592e8
cryptanalysiskb128n5obj16,1800,Inf,Inf,1800,Inf,Inf,1797.078307,Inf,Inf,1797.078307,Inf,Inf
ns1644855,1800,-1524.333333,-1420.333333,1773.002408,-1,-1,1800,-1524.333333,-1420.333333,1800,-1524.333333,-1420.333333
neos-2746589-doon,1800,2006.0897959183676,2008.2,1800,1994.6764462673164,2052.8,1800,2006.0897959183676,2011.9,1800,2006.0897959183685,2008.2
splice1k1,1800,-1645.858154,-121,1800,-1645.858154,-121,1781.683763,Inf,Inf,1800,-1645.764728,-121
csched007,1800,324.71465406378593,351,1800,324.76522895166727,351,1800,328.4685491856949,353,1800,328.5288484,353
ns1760995,1800,-1233.865232,-429.3570897,1800,Inf,Inf,1800,-1095.398808,-418.8167834,1794.441684,Inf,Inf
ns1830653,176.496457,-1,-1,175.824613,-1,-1,199.752958,-1,-1,197.994169,-1,-1
nu25-pr12,5.509859,-1,-1,6.250537,-1,-1,8.189463,-1,-1,7.149846,-1,-1
csched008,495.672378,-1,-1,489.175815,-1,-1,850.04536,-1,-1,856.477795,-1,-1
neos-2978193-inde,1800,-2.415546686,-2.388061686,1800,-2.415546686,-2.388061686,1800,-2.397023516,-2.388061686,1800,-2.397023516,-2.388061686
neos-3004026-krka,189.246916,-1,-1,382.622657,-1,-1,176.849122,-1,-1,73.91176,-1,-1
square41,1800,8.897598047,26,1800,Inf,Inf,1800,8.881772379856004,26,1729.09983,Inf,Inf
nursesched-medium-hint03,1800,Inf,Inf,1800,Inf,Inf,1794.320469,Inf,Inf,1794.320469,Inf,Inf
nursesched-sprint02,189.03072,-1,-1,188.657913,-1,-1,19.150614,-1,-1,19.192104,-1,-1
nw04,57.536419,-1,-1,55.967102,-1,-1,44.446416,-1,-1,43.838308,-1,-1
cvs16r128-89,1800,-110.9224615,-96,1800,-114.1352481,-96,1800,-110.9224615,-96,1800,-114.0991665,-96
dano3_3,114.311682,-1,-1,114.062896,-1,-1,126.508173,-1,-1,126.755019,-1,-1
dano3_5,361.324328,-1,-1,363.04561,-1,-1,391.306025,-1,-1,391.065248,-1,-1
decomp2,4.063606,-1,-1,4.006887,-1,-1,2.33351,-1,-1,2.376857,-1,-1
drayage-100-23,11.106182,-1,-1,10.131109,-1,-1,3.689547,-1,-1,9.457959,-1,-1
drayage-25-23,23.527711,-1,-1,11.624387,-1,-1,243.019869,-1,-1,313.275849,-1,-1
neos-3046615-murg,1800,541.4542345,1602,1800,542.3688311688312,1602,1800,520.6590909090909,1608,1800,520.4166880616175,1608
square47,1800,8.755813953488525,29,1800,Inf,Inf,1800,8.755813953,29,1645.971831,Inf,Inf
peg-solitaire-a3,1800,Inf,Inf,1800,Inf,Inf,1799.13706,Inf,Inf,1799.13706,Inf,Inf
dws008-01,1800,24857.145941933974,43265.19886667079,1800,23948.331284915155,38486.10353796662,1800,23607.27936026812,37412.6046,1800,21841.886283884778,41549.68807245451
